model,task_mae,task_bias,proxy_total,segment
gem2:9b,0.13803357615906103,0.016891499908078894,2.7749197144015216,B
gpt35t,0.17169201040540036,0.02114412251636373,1.9864007945603177,B
gpt4om,0.1558562039397377,0.1275531530672068,3.4876498972815444,B
gpt51t,0.08931847183916278,0.002248701628916955,9.169135280011284,C
gpt52i,0.16922728895685465,0.16450000251658148,6.939440040569035,A
gpt52p,0.09041781124893153,-0.08401545508978521,10.033728241894204,C
gpt52t,0.1600103600254235,0.15483189284847182,9.025392335151883,A
haiku45,0.31106039818459136,0.31106039818459136,5.254952557589442,A
llama2:13b,0.1875416957522422,-0.008251320234741252,3.515432749771497,B
llama32:3b,0.1763232829256256,0.009494638386423065,1.5709620075240809,B
mist:7b,0.2159314951384586,0.17467799188647087,1.9688203150112504,B
opus46,0.1459567376183617,0.10870130121908271,7.217186975495132,A
opus46t,0.16971497076776887,0.1456880255988326,6.9557152793878965,A
sonnet46,0.20617664421057122,0.1956244533728826,5.445286946179007,A
sonnet46t,0.24676669150212965,0.24126500571494608,6.69391623718974,A
